file,title,date,people,renyiCategories,topics,country,city,description,downloadName,alt,link
uploads/archive/佛堂中/天佑宮中叩拜1.jpg,天佑宮中叩拜,,仁義大仙,佛堂,,臺灣,,原始典藏照片。,崇德仁義-天佑宮中叩拜1.jpg,仁義大仙於天佑宮中叩拜,
uploads/archive/佛堂中/天佑宮動土1.png,天佑宮動土,,仁義大仙,佛堂,,臺灣,,原始典藏照片。,崇德仁義-天佑宮動土1.png,天佑宮動土典禮照片,
uploads/archive/佛堂中/孔孟聖廟安座.png,孔孟聖廟安座,,仁義大仙,佛堂,,臺灣,,原始典藏照片。,崇德仁義-孔孟聖廟安座.png,孔孟聖廟安座典禮照片,
uploads/archive/家人/福山全家福.png,福山全家福,,仁義大仙,家人,,臺灣,,原始典藏照片。,崇德仁義-福山全家福.png,仁義大仙與家人合照,
uploads/archive/家人/與夫人在崇德壇.png,與夫人在崇德壇,,仁義大仙,家人,,臺灣,,原始典藏照片。,崇德仁義-與夫人在崇德壇.png,仁義大仙與夫人在崇德壇留影,
uploads/archive/家人/大陸眷屬.png,大陸眷屬,,仁義大仙,家人,,中國大陸,,原始典藏照片。,崇德仁義-大陸眷屬.png,仁義大仙家人眷屬照片,
uploads/archive/眾道親/天佑宮前合照.jpg,天佑宮前合照,,仁義大仙,眾道親,,臺灣,,原始典藏照片。,崇德仁義-天佑宮前合照.jpg,仁義大仙與眾道親於天佑宮前合照,
uploads/archive/眾道親/孝義聯誼會1.jpg,孝義聯誼會,,仁義大仙,眾道親,,臺灣,,原始典藏照片。,崇德仁義-孝義聯誼會1.jpg,孝義聯誼會活動照片,
uploads/archive/眾道親/社會公益.png,社會公益,,仁義大仙,眾道親,,臺灣,,原始典藏照片。,崇德仁義-社會公益.png,仁義大仙參與社會公益活動,
uploads/archive/獨照/孔廟照_1.jpg,孔廟留影,,仁義大仙,獨照,,臺灣,,原始典藏照片。,崇德仁義-孔廟照1.jpg,仁義大仙於孔廟留影,
uploads/archive/獨照/道袍.jpg,道袍留影,,仁義大仙,獨照,,臺灣,,原始典藏照片。,崇德仁義-道袍留影.jpg,仁義大仙身著道袍留影,
uploads/archive/獨照/竹編椅_1.jpg,竹編椅留影,,仁義大仙,獨照,,臺灣,,原始典藏照片。,崇德仁義-竹編椅留影1.jpg,仁義大仙於竹編椅留影,
uploads/archive/墨寶/方老點傳師/仁者無敵/仁者無敵(原版).JPG,仁者無敵墨寶,,仁義大仙,,墨寶,臺灣,,原始典藏墨寶。,崇德仁義-仁者無敵墨寶.JPG,仁者無敵書法墨寶,
uploads/archive/墨寶/方老點傳師/佛/佛1.jpg,佛字墨寶,,仁義大仙,,墨寶,臺灣,,原始典藏墨寶。,崇德仁義-佛字墨寶1.jpg,佛字書法墨寶,
uploads/archive/墨寶/方老點傳師/其他/慈悲喜捨.JPG,慈悲喜捨墨寶,,仁義大仙,,墨寶,臺灣,,原始典藏墨寶。,崇德仁義-慈悲喜捨墨寶.JPG,慈悲喜捨書法墨寶,
uploads/archive/墨寶/朱玖塋墨寶/道範長存1.JPG,道範長存墨寶,,,,墨寶,臺灣,,朱玖塋先生原始典藏墨寶。,崇德仁義-道範長存墨寶1.JPG,道範長存書法墨寶,
uploads/archive/與前人輩/前人老/前人老蒞臨天佑宮.jpg,前人老蒞臨天佑宮,,仁義大仙|前人老,,,臺灣,,原始典藏照片。,崇德仁義-前人老蒞臨天佑宮.jpg,仁義大仙與前人老於天佑宮,
uploads/archive/與前人輩/前人老/前人老頒獎1.jpg,前人老頒獎,,仁義大仙|前人老,,,臺灣,,原始典藏照片。,崇德仁義-前人老頒獎1.jpg,前人老頒獎活動照片,
uploads/archive/與前人輩/前人老/安老院動土合照.jpg,安老院動土合照,,仁義大仙|前人老,,,臺灣,,原始典藏照片。,崇德仁義-安老院動土合照.jpg,安老院動土典禮合照,
uploads/archive/與前人輩/老前人/光明仁愛之家董事.jpg,光明仁愛之家董事合照,,仁義大仙|老前人|前人老,,,臺灣,,原始典藏照片。,崇德仁義-光明仁愛之家董事.jpg,光明仁愛之家董事合照,
uploads/archive/與前人輩/老前人/叩拜1.jpg,同老前人叩拜,,仁義大仙|老前人,,,臺灣,,原始典藏照片。,崇德仁義-老前人叩拜1.jpg,仁義大仙與老前人叩拜照片,
uploads/archive/與前人輩/老前人/孔廟1.jpg,同老前人孔廟留影,,仁義大仙|老前人,,,臺灣,,原始典藏照片。,崇德仁義-老前人孔廟1.jpg,仁義大仙與老前人於孔廟留影,
uploads/archive/1日本/方老點傳師傳題_11日本.jpg,日本慈悲傳題,,仁義大仙,,,日本,,原始典藏照片。,崇德仁義-日本傳題11.jpg,仁義大仙於日本傳題,
uploads/archive/1日本/方老點傳師傳題_12日本.jpg,日本慈悲傳題,,仁義大仙,,,日本,,原始典藏照片。,崇德仁義-日本傳題12.jpg,仁義大仙於日本傳題,
uploads/archive/2泰國/泰國曼谷市長-待確定   眾道親9.JPG,泰國曼谷活動合照-泰國曼谷市長(中間),,仁義大仙,眾道親,,泰國,曼谷,,崇德仁義-泰國曼谷活動合照.JPG,仁義大仙於泰國曼谷活動合照,
uploads/archive/2泰國/辦道3 (泰國）.png,泰國辦道,,仁義大仙,佛堂,,泰國,,原始典藏照片。,崇德仁義-泰國辦道3.png,仁義大仙於泰國辦道照片,
uploads/archive/3印尼  新加坡/印尼正德佛院動土1.png,印尼正德佛院動土,,仁義大仙,佛堂,,印尼,,原始典藏照片。,崇德仁義-印尼正德佛院動土1.png,印尼正德佛院動土典禮照片,
uploads/archive/3印尼  新加坡/方老點傳師傳題_18印尼.jpg,印尼慈悲傳題,,仁義大仙,,,印尼,,原始典藏照片。,崇德仁義-印尼傳題18.jpg,仁義大仙於印尼傳題,
uploads/archive/3印尼  新加坡/眾道親印尼1.jpg,印尼眾道親合照,,仁義大仙,眾道親,,印尼,,原始典藏照片。,崇德仁義-印尼眾道親合照1.jpg,仁義大仙與印尼眾道親合照,
uploads/archive/6大陸/辦道4.png,大陸辦道,,仁義大仙,佛堂,,中國大陸,,原始典藏照片。,崇德仁義-大陸辦道4.png,仁義大仙於中國大陸辦道照片,
uploads/archive/佛堂中/天佑宮中叩拜2.jpg,天佑宮中叩拜,,仁義大仙,佛堂,,臺灣,,,崇德仁義-天佑宮中叩拜2.jpg,仁義大仙於天佑宮中叩拜,
